행사명,장소,행사내용,행사시작일자,행사종료일자,행사시작시각,행사종료시각,요금정보,주관기관명,주최기관명,전화번호,후원기관명,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
어린이 베스트셀러 뮤지컬 사과가 쿵,백조홀,공연뮤지컬,2023-06-10,2023-06-10,14:00,14:50,유료,온누리+오즈,온누리+오즈,054-840-3600,,229,30000원,24개월 이상 관람 가능,,,https://www.andong.go.kr/arts/main.do,https://www.andong.go.kr/arts/main.do,Y,경상북도 안동시 축제장길 66,경상북도 안동시 안흥동 373-6,36.559409,128.725076,2025-09-02,5070000,경상북도 안동시
어린이 베스트셀러 뮤지컬 사과가 쿵,백조홀,공연뮤지컬,2023-06-10,2023-06-10,16:00,16:50,유료,온누리+오즈,온누리+오즈,054-840-3600,,229,30000원,24개월 이상 관람 가능,,,https://www.andong.go.kr/arts/main.do,https://www.andong.go.kr/arts/main.do,Y,경상북도 안동시 축제장길 66,경상북도 안동시 안흥동 373-6,36.559409,128.725076,2025-09-02,5070000,경상북도 안동시
(2023토요야외 상설기획공연 토토즐)프롬나드 노스탤지어,안동문화예술의전당 야외공연장,공연클래식,2023-06-10,2023-06-10,14:00,14:40,무료,안동문화예술의전당,안동문화예술의전당,054-840-3600,,,,,,,https://www.andong.go.kr/arts/main.do,https://www.andong.go.kr/arts/main.do,Y,경상북도 안동시 축제장길 66,경상북도 안동시 안흥동 373-6,36.559409,128.725076,2025-09-02,5070000,경상북도 안동시
들꽃이야기,5갤러리,전시회화,2023-06-13,2023-06-18,10:00,19:00,무료,한국들꽃아트교육연구소,한국들꽃아트교육연구소,054-840-3600,,,,,,,https://www.andong.go.kr/arts/main.do,https://www.andong.go.kr/arts/main.do,Y,경상북도 안동시 축제장길 66,경상북도 안동시 안흥동 373-6,36.559409,128.725076,2025-09-02,5070000,경상북도 안동시
제53회 경상북도공예품대전,34갤러리,전시공예,2023-06-13,2023-06-25,10:00,19:00,무료,대구경북공예협동조합,대구경북공예협동조합,054-840-3600,,,,,,,https://www.andong.go.kr/arts/main.do,https://www.andong.go.kr/arts/main.do,Y,경상북도 안동시 축제장길 66,경상북도 안동시 안흥동 373-6,36.559409,128.725076,2025-09-02,5070000,경상북도 안동시
독립의 혼 임청각,웅부홀,공연무용,2023-06-16,2023-06-16,15:00,16:10,유료,한예술단,한예술단,054-840-3600,,926,5000원,,,,https://www.andong.go.kr/arts/main.do,https://www.andong.go.kr/arts/main.do,Y,경상북도 안동시 축제장길 66,경상북도 안동시 안흥동 373-6,36.559409,128.725076,2025-09-02,5070000,경상북도 안동시
독립의 혼 임청각,웅부홀,공연무용,2023-06-16,2023-06-16,19:30,20:40,유료,한예술단,한예술단,054-840-3600,,926,5000원,,,,https://www.andong.go.kr/arts/main.do,https://www.andong.go.kr/arts/main.do,Y,경상북도 안동시 축제장길 66,경상북도 안동시 안흥동 373-6,36.559409,128.725076,2025-09-02,5070000,경상북도 안동시
안산시립국악단 제49회 정기연주회 창단 20주년 기념음악회 - 새로움을 그리다,세종문화회관 대극장,국악관현악연주,2016-02-24,2016-02-24,00:00,23:59,유료,안산시립국악단,경기도 안산시청,031-481-4098,,3000,R석50000원+S석30000원+A석20000원,만8세이상 관람가능,,,http://www.ansanarts.com,,Y,서울특별시 종로구 세종대로 175(세종로),서울특별시 종로구 세종로 81-3 세종문화회관,37.57184786,126.9761683,2025-08-29,3930000,경기도 안산시
시립합창단 특별기획공연 미국유명합창단 초청연주 Spring Time,안산문화예술의전당 해돋이극장,합창공연,2016-04-05,2016-04-05,00:00,23:59,유료,안산시립합창단,경기도 안산시청,031-481-4098,,1000,전석 5000원,만8세이상 관람가능,,,http://www.ansanarts.com,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
안산시립합창단 제53회 정기연주회,안산문화예술의전당 해돋이극장,합창공연,2016-06-02,2016-06-02,00:00,23:59,유료,안산시립합창단,경기도 안산시청,031-481-4098,,1000,VIP석 20000원+R석12000원+S석8000원+A석5000원,만8세이상 관람가능,,,https://www2.ansan.go.kr/danwongu/,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
안산시립국악단 제50회 정기연주회,안산문화예술의전당 해돋이극장,국악관현악연주,2016-06-29,2016-06-29,00:00,23:59,유료,안산시립국악단,경기도 안산시청,031-481-4097,,1000,전석 10000원,만8세이상 관람가능,,,https://www2.ansan.go.kr/danwongu/,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
시립국악단 찾아가는 음악회,문화광장 전망대광장,국악관현악연주,2016-08-19,2016-08-19,00:00,23:59,무료,안산시립국악단,경기도 안산시청,031-481-4097,,1000,,,,,https://www2.ansan.go.kr/danwongu/,,Y,경기도 안산시 단원구 광덕대로 206(고잔동),경기도 안산시 단원구 고잔동 800,37.31470083,126.831204,2025-08-29,3930000,경기도 안산시
안산시립합창단 특별기획공연,안산문화예술의전당 해돋이극장,합창공연,2016-08-20,2016-08-20,00:00,23:59,무료,안산시립합창단,경기도 안산시청,031-481-4098,,1000,,만8세이상 관람가능,,,https://www2.ansan.go.kr/danwongu/,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
안산시립합창단 제54회 정기연주회,안산문화예술의전당 해돋이극장,합창공연,2016-09-22,2016-09-22,00:00,23:59,유료,안산시립합창단,경기도 안산시청,031-481-4098,,1000,VIP석 20000원+R석12000원+S석8000원+A석5000원,만8세이상 관람가능,,,https://www2.ansan.go.kr/danwongu/,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
안산시립합창단 찾아가는 음악회,문화광장 전망대광장,합창공연,2016-10-01,2016-10-01,00:00,23:59,무료,안산시립합창단,경기도 안산시청,031-481-4098,,1000,,,,,https://www2.ansan.go.kr/danwongu/,,Y,경기도 안산시 단원구 광덕대로 206(고잔동),경기도 안산시 단원구 고잔동 800,37.31470083,126.831204,2025-08-29,3930000,경기도 안산시
안산시여성합창단 제29회 정기연주회,안산문화예술의전당 해돋이극장,합창공연,2016-11-22,2016-11-22,00:00,23:59,무료,안산시여성합창단,경기도 안산시청,031-481-2068,,1000,,만8세이상 관람가능,,,https://www2.ansan.go.kr/danwongu/,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
안산시립국악단 제51회 정기연주회,안산문화예술의전당 해돋이극장,국악관현악연주,2016-11-24,2016-11-24,00:00,23:59,유료,안산시립국악단,경기도 안산시청,031-481-4097,,1000,R석12000원+S석10000원+A석8000원,만8세이상 관람가능,,,https://www2.ansan.go.kr/danwongu/,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
안산시립합창단 제55회 정기연주회,안산문화예술의전당 해돋이극장,합창공연,2016-12-15,2016-12-15,00:00,23:59,유료,안산시립합창단,경기도 안산시청,031-481-4098,,1000,VIP석 20000원+R석12000원+S석8000원+A석5000원,만8세이상 관람가능,,,https://www2.ansan.go.kr/danwongu/,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
2016 안산시 송년음악회,안산문화예술의전당 해돋이극장,대중공연,2016-12-27,2016-12-27,00:00,23:59,무료,경기도 안산시청,경기도 안산시청,031-481-2068,,1000,,만8세이상 관람가능,,,https://www2.ansan.go.kr/danwongu/,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
안산시립국악단 오작교프로젝트 I New People : 경계를 허물다,안산문화예술의전당 달맞이극장,국악관현악연주,2017-02-16,2017-02-16,00:00,23:59,무료,안산시립국악단,경기도 안산시청,031-481-4097,,700,,만8세이상 관람가능,,,http://www.ansanarts.com,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
안산시립합창단 제56회 정기연주회 한국가곡의밤,안산문화예술의전당 해돋이극장,합창공연,2017-04-20,2017-04-20,00:00,23:59,유료,안산시립합창단,경기도 안산시청,031-481-4098,,1300,R석10000원+S석5000원,만8세이상 관람가능,,,http://www.ansanarts.com,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
안산시립국악단 제52회 정기연주회,안산문화예술의전당 달맞이극장,국악관현악연주,2017-05-12,2017-05-12,00:00,23:59,유료,안산시립국악단,경기도 안산시청,031-481-4097,,700,R석12000원+S석10000원+A석8000원,만8세이상 관람가능,,,http://www.ansanarts.com,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
안산시립합창단 특별기획공연 제11회 세계합창심포지엄 초청기념 음악회,서울 예술의전당,합창공연,2017-06-03,2017-06-03,00:00,23:59,유료,안산시립합창단,경기도 안산시청,031-481-4098,,2300,R석20000원+S석10000원+A석7000원,만8세이상 관람가능,,,http://www.ansanarts.com,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
안산시립국악단 기획연주회 SHOW ME THE 樂,안산문화예술의전당 달맞이극장,국악관현악연주,2017-07-20,2017-07-20,00:00,23:59,유료,안산시립국악단,경기도 안산시청,031-481-4097,,700,VIP석 30000원+R석20000원+S석15000원+A석10000원,만8세이상 관람가능,,,http://www.ansanarts.com,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
"안산시립합창단 특별기획공연 안산, 즐거움을 노래하다III",안산문화예술의전당 해돋이극장,합창공연,2017-08-19,2017-08-19,00:00,23:59,무료,안산시립합창단,경기도 안산시청,031-481-4098,,1300,,만6세이상 관람가능,,,http://www.ansanarts.com,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
안산시 기획공연 쉼 가을여행,안산문화광장 전망대광장,대중공연,2017-09-15,2017-09-15,00:00,23:59,무료,경기도 안산시청,경기도 안산시청,031-481-2068,,1000,,만5세이상 관람가능,,,https://www2.ansan.go.kr/danwongu/,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
일동패밀리 100인 합창단 음악회,안산문화예술의전당 달맞이극장,합창공연,2017-10-10,2017-10-10,00:00,23:59,무료,일동주민자치위원회,일동주민자치위원회,031-481-5400,안산시마을만들기지원센터,700,,만7세이상 관람가능,,,https://sangnok-gu.iansan.net/,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
안산시립국악단 오작교프로젝터 II 세계와소통하다,안산문화예술의전당 달맞이극장,국악관현악연주,2017-10-12,2017-10-12,00:00,23:59,무료,안산시립국악단,경기도 안산시청,031-481-4097,,700,,만8세이상 관람가능,,,http://www.ansanarts.com,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
안산시립합창단 제57회 정기연주회 미국의합창음악,안산문화예술의전당 해돋이극장,합창공연,2017-10-20,2017-10-20,00:00,23:59,유료,안산시립합창단,경기도 안산시청,031-481-4098,,1300,R석12000원+S석8000원+A석5000원,만8세이상 관람가능,,,http://www.ansanarts.com,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
시민대합창제 세계명곡의 밤,안산문화예술의전당 해돋이극장,합창공연,2017-10-26,2017-10-26,00:00,23:59,무료,경기도 안산시청,경기도 안산시청,031-481-2068,,1300,,만5세이상 관람가능,,,http://www.ansanarts.com,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
상록구여성합창단 제17회 정기연주회,안산문화예술의전당 달맞이극장,합창공연,2017-11-07,2017-11-07,00:00,23:59,무료,안산시 상록구여성합창단,경기도 안산시 상록구청,031-481-5061,,700,,만7세이상 관람가능,,,http://sangnok-gu.ansan.go.kr,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
단원구여성합창단 제6회 정기연주회,안산문화예술의전당 달맞이극장,합창공연,2017-11-15,2017-11-15,00:00,23:59,무료,안산시 단원구여성합창단,경기도 안산시 단원구여성합창단,031-481-6063,,700,,만7세이상 관람가능,,,https://www2.ansan.go.kr/danwongu/,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
안산시립국악단 제53회 정기연주회,안산문화예술의전당 해돋이극장,국악관현악연주,2017-11-29,2017-11-29,00:00,23:59,유료,안산시립국악단,경기도 안산시청,031-481-4097,,1300,R석12000원+S석10000원+A석8000원,만8세이상 관람가능,,,http://www.ansanarts.com,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
안산시여성합창단 제30회 정기연주회,안산문화예술의전당 해돋이극장,합창공연,2017-11-30,2017-11-30,00:00,23:59,무료,안산시여성합창단,경기도 안산시청,031-481-2068,,1300,,만5세이상 관람가능,,,https://www2.ansan.go.kr/danwongu/,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
제13회 반월고운빛여성합창단 정기연주회,안산문화예술의전당 달맞이극장,합창공연,2017-12-05,2017-12-05,00:00,23:59,무료,반월고운빛여성합창단,반월고운빛여성합창단,031-481-5770,반월동주민자치위원회,700,,만7세이상 관람가능,,,,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
안산시립합창단 제58회 정기연주회 비발디의 합창과 함께,안산문화예술의전당 해돋이극장,합창공연,2017-12-12,2017-12-12,00:00,23:59,유료,안산시립합창단,경기도 안산시청,031-481-4098,,1300,R석12000원+S석8000원+A석5000원,만8세이상 관람가능,,,http://www.ansanarts.com,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
2017 안산시 송년음악회,안산문화예술의전당 해돋이극장,대중공연,2017-12-28,2017-12-28,00:00,23:59,무료,경기도 안산시청,경기도 안산시청,031-481-2068,,1300,,만5세이상 관람가능,,,http://www.ansanarts.com,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
안산시립국악단 신년음악회,안산문화예술의전당 해돋이극장,국악관현악연주,2018-01-18,2018-01-18,00:00,23:59,유료,안산시립국악단,경기도 안산시청,031-481-4097,,1300,VIP석 30000원+R석20000원+S석10000원+A석8000원,만8세이상 관람가능,,,http://www.ansanarts.com,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
안산시립합창단 제59회 정기연주회 바로크음악 그리고 Bach,안산문화예술의전당 해돋이극장,합창공연,2018-04-05,2018-04-05,00:00,23:59,유료,안산시립합창단,경기도 안산시청,031-481-4098,,1300,R석10000원+S석5000원,만8세이상 관람가능,,,http://www.ansanarts.com,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
안산시립국악단 기획공연 가족음악회,안산문화예술의전당 해돋이극장,국악관현악연주,2018-05-31,2018-05-31,00:00,23:59,유료,안산시립국악단,경기도 안산시청,031-481-4097,,1300,R석12000원+S석10000원+A석8000원,만8세이상 관람가능,,,http://www.ansanarts.com,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
안산시립합창단 제60회 정기연주회 세계명품합창,안산문화예술의전당 해돋이극장,합창공연,2018-06-07,2018-06-07,00:00,23:59,유료,안산시립합창단,경기도 안산시청,031-481-4098,,1300,R석12000원+S석8000원+A석5000원,만8세이상 관람가능,,,http://www.ansanarts.com,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
시민대합창제 summer festival,안산문화예술의전당 해돋이극장,합창공연,2018-07-20,2018-07-20,00:00,23:59,무료,경기도 안산시청,경기도 안산시청,031-481-2068,,1300,,만5세이상 관람가능,,,https://www2.ansan.go.kr/danwongu/,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
안산시립국악단 기획공연 썸머음악회,안산문화예술의전당 해돋이극장,국악관현악연주,2018-07-25,2018-07-25,00:00,23:59,유료,안산시립국악단,경기도 안산시청,031-481-4097,,1300,R석12000원+S석10000원+A석8000원,만8세이상 관람가능,,,http://www.ansanarts.com,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
전국노래자랑<경기도 안산시편>,상록수체육관,KBS전국노래자랑,2018-08-11,2018-08-11,00:00,23:59,무료,KBS,경기도 안산시청,031-481-2068,,2500,,전체관람 가능,,,,,Y,경기도 안산시 상록구 용신로 422(본오동),경기도 안산시 상록구 본오동 1111-20,37.30095518,126.8685761,2025-08-29,3930000,경기도 안산시
"안산시립합창단 특별기획공연 안산, 즐거움을 노래하다IV",안산문화예술의전당 해돋이극장,합창공연,2018-08-19,2018-08-19,00:00,23:59,무료,안산시립합창단,경기도 안산시청,031-481-4098,,1300,,만6세이상 관람가능,,,http://www.ansanarts.com,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
안산시립합창단 제61회 정기연주회 가을 그 설레임응로,안산문화예술의전당 해돋이극장,합창공연,2018-09-13,2018-09-13,00:00,23:59,유료,안산시립합창단,경기도 안산시청,031-481-4098,,1300,R석12000원+S석8000원+A석5000원,만8세이상 관람가능,,,http://www.ansanarts.com,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
안산시립국악단 제54회 정기연주회,안산문화예술의전당 달맞이극장,국악관현악연주,2018-09-20,2018-09-20,00:00,23:59,유료,안산시립국악단,경기도 안산시청,031-481-4097,,700,R석12000원+S석10000원+A석8000원,만8세이상 관람가능,,,http://www.ansanarts.com,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
일동패밀리 100인 합창단 음악회,안산문화예술의전당 달맞이극장,합창공연,2018-09-29,2018-09-29,00:00,23:59,무료,일동주민자치위원회,일동주민자치위원회,031-481-5400,안산시마을만들기지원센터,700,,만7세이상 관람가능,,,,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
상록구여성합창단 제18회 정기연주회,안산문화예술의전당 달맞이극장,합창공연,2018-10-04,2018-10-04,00:00,23:59,무료,안산시 상록구여성합창단,경기도 안산시 상록구청,031-481-5061,,700,,만7세이상 관람가능,,,http://sangnok-gu.ansan.go.kr,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
단원구여성합창단 제7회 정기연주회,안산문화예술의전당 달맞이극장,합창공연,2018-10-05,2018-10-05,00:00,23:59,무료,안산시 단원구여성합창단,경기도 안산시 단원구여성합창단,031-481-6063,,700,,만7세이상 관람가능,,,https://www2.ansan.go.kr/danwongu/,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
안산시립합창단 특별기획공연 W음악회,노적봉폭포공원,합창공연,2018-10-09,2018-10-09,00:00,23:59,무료,안산시립합창단,경기도 안산시청,031-481-4098,,,,전체관람 가능,,,http://www.ansanarts.com,,Y,,경기도 안산시 상록구 성포동 산39-1,37.3201921,126.8543418,2025-08-29,3930000,경기도 안산시
안산시립합창단 특별기획공연 W음악회,문화광장,합창공연,2018-10-18,2018-10-18,00:00,23:59,무료,안산시립합창단,경기도 안산시청,031-481-4098,,,,전체관람 가능,,,http://www.ansanarts.com,,Y,경기도 안산시 단원구 광덕대로 206(고잔동),경기도 안산시 단원구 고잔동 800,37.31470083,126.831204,2025-08-29,3930000,경기도 안산시
안산시립합창단 특별기획공연 W음악회,문화광장,합창공연,2018-10-25,2018-10-25,00:00,23:59,무료,안산시립합창단,경기도 안산시청,031-481-4098,,,,전체관람 가능,,,http://www.ansanarts.com,,Y,경기도 안산시 단원구 광덕대로 206(고잔동),경기도 안산시 단원구 고잔동 800,37.31470083,126.831204,2025-08-29,3930000,경기도 안산시
안산시립합창단 특별기획공연 W음악회,화랑유원지 소공연장,합창공연,2018-10-27,2018-10-27,00:00,23:59,무료,안산시립합창단,경기도 안산시청,031-481-4098,,,,전체관람 가능,,,http://www.ansanarts.com,,Y,경기도 안산시 단원구 화랑로 259(초지동),경기도 안산시 단원구 초지동 667,37.32308895,126.816187,2025-08-29,3930000,경기도 안산시
안산시여성합창단 제31회 정기연주회,안산문화예술의전당 해돋이극장,합창공연,2018-11-27,2018-11-27,00:00,23:59,무료,안산시여성합창단,경기도 안산시청,031-481-2068,,1300,,만5세이상 관람가능,,,https://www2.ansan.go.kr/danwongu/,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
안산시립합창단 제62회 정기연주회 SUNRISE,안산문화예술의전당 해돋이극장,합창공연,2018-12-11,2018-12-11,00:00,23:59,유료,안산시립합창단,경기도 안산시청,031-481-4098,,1300,R석12000원+S석8000원+A석5000원,만8세이상 관람가능,,,http://www.ansanarts.com,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
안산시립국악단 제55회 정기연주회,안산문화예술의전당 해돋이극장,국악관현악연주,2018-12-12,2018-12-12,00:00,23:59,유료,안산시립국악단,경기도 안산시청,031-481-4097,,1300,R석12000원+S석10000원+A석8000원,만8세이상 관람가능,,,http://www.ansanarts.com,,Y,경기도 안산시 단원구 화랑로 312(고잔동),경기도 안산시 단원구 고잔동 817,37.31842647,126.8231075,2025-08-29,3930000,경기도 안산시
산업안전보건분야 교육,대가야문화누리,교육,2025-05-16,2025-05-16,16:00,17:00,무료,경상북도 고령군청 군민안전과,경상북도 고령군청 군민안전과,,,,,,,,,,Y,경상북도 고령군 대가야읍 왕릉로 30,경상북도 고령군 대가야읍 지산리 308,35.72357555,128.2630942,2025-06-25,5200000,경상북도 고령군
만복이네 떡집,대가야문화누리,어린이뮤지컬,2025-05-22,2025-05-23,09:00,22:00,유료,경상북도 고령군청 시설사업소,경상북도 고령군청 시설사업소,,,,,,,,,,Y,경상북도 고령군 대가야읍 왕릉로 30,경상북도 고령군 대가야읍 지산리 308,35.72357555,128.2630942,2025-06-25,5200000,경상북도 고령군
고령 멜빙축제,대가야문화누리,멜빙축제,2025-06-06,2025-06-09,09:00,22:00,무료,경상북도 고령군청 관광진흥과,경상북도 고령군청 관광진흥과,,,,,,,,,,Y,경상북도 고령군 대가야읍 왕릉로 30,경상북도 고령군 대가야읍 지산리 308,35.72357555,128.2630942,2025-06-25,5200000,경상북도 고령군
연극 남사친 여사친,대가야문화누리,연극,2025-06-12,2025-06-13,09:00,22:00,유료,경상북도 고령군청 시설사업소,경상북도 고령군청 시설사업소,,,,,,,,,,Y,경상북도 고령군 대가야읍 왕릉로 30,경상북도 고령군 대가야읍 지산리 308,35.72357555,128.2630942,2025-06-25,5200000,경상북도 고령군
청소년오케스트라 연주회,대가야문화누리,연극,2025-06-21,2025-06-21,09:00,22:00,무료,고령문화원,고령문화원,,,,,,,,,,Y,경상북도 고령군 대가야읍 왕릉로 30,경상북도 고령군 대가야읍 지산리 308,35.72357555,128.2630942,2025-06-25,5200000,경상북도 고령군
2023 신년음악회,대공연장,크로스오버,2023-01-27,2023-01-27,19:30,21:30,유료,충청남도 서산시문화시설사업소,충청남도 서산시문화시설사업소,041-661-8028,충청남도 서산시문화시설사업소,601,S석 2만원 / A석 1만원,초등학생 이상,"[20] 청소년 및 대학생(24세 이하), 자원봉사자 / [50] 우수자원봉사자, 장애의 정도가 심한 본인 및 보호자 1명 또는 장애의 정도가 심하지 않은 장애인 본인, 만 65세 이상의 노인, 국가유공자",,https://www.seosan.go.kr/culture/index.do,https://www.seosan.go.kr/culture/contents.do?key=2826,Y,충청남도 서산시 문화로 52 (읍내동),충청남도 서산시 읍내동 510 문화회관,36.786167,126.448685,2025-07-18,4530000,충청남도 서산시
싱어 러브 라이터,소공연장,뮤지컬,2023-02-15,2023-02-18,19:30,21:30,유료,충청남도 서산시문화시설사업소,충청남도 서산시문화시설사업소,041-661-8028,충청남도 서산시문화시설사업소,108,전석 1만원,초등학생 이상,"[20] 청소년 및 대학생(24세 이하), 자원봉사자 / [50] 우수자원봉사자, 장애의 정도가 심한 본인 및 보호자 1명 또는 장애의 정도가 심하지 않은 장애인 본인, 만 65세 이상의 노인, 국가유공자",,https://www.seosan.go.kr/culture/index.do,https://www.seosan.go.kr/culture/contents.do?key=2826,Y,충청남도 서산시 문화로 52 (읍내동),충청남도 서산시 읍내동 510 문화회관,36.786167,126.448685,2025-07-18,4530000,충청남도 서산시
위대한 영웅들,대공연장,클래식,2023-02-23,2023-02-23,19:30,21:30,유료,충청남도 서산시문화시설사업소,충청남도 서산시문화시설사업소,041-661-8028,충청남도 서산시문화시설사업소,601,S석 2만원 / A석 1만원,초등학생 이상,"[20] 청소년 및 대학생(24세 이하), 자원봉사자 / [50] 우수자원봉사자, 장애의 정도가 심한 본인 및 보호자 1명 또는 장애의 정도가 심하지 않은 장애인 본인, 만 65세 이상의 노인, 국가유공자",,https://www.seosan.go.kr/culture/index.do,https://www.seosan.go.kr/culture/contents.do?key=2826,Y,충청남도 서산시 문화로 52 (읍내동),충청남도 서산시 읍내동 510 문화회관,36.786167,126.448685,2025-07-18,4530000,충청남도 서산시
